label	ctx_size	batch_size	ubatch_size	status	avg_completion_tok_s	avg_total_tok_s	avg_wall_s	avg_rss_mb	peak_rss_mb	server_log	benchmark_log
turbo-maxctx	196608	512	128	ok	5.16	5901.35	629.094	48713.7	49068.0	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx196608-b512-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx196608-b512-ub128.benchmark.log
turbo-maxctx	196608	512	256	ok	4.61	5268.13	558.285	48220.5	48464.5	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx196608-b512-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx196608-b512-ub256.benchmark.log
turbo-maxctx	196608	1024	128	ok	5.12	5861.60	623.986	48716.0	49068.6	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx196608-b1024-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx196608-b1024-ub128.benchmark.log
turbo-maxctx	196608	1024	256	ok	4.62	5282.68	554.803	48832.8	49199.4	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx196608-b1024-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx196608-b1024-ub256.benchmark.log
turbo-maxctx	212992	512	128	ok	4.85	6012.43	686.560	48908.3	49298.8	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx212992-b512-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx212992-b512-ub128.benchmark.log
turbo-maxctx	212992	512	256	ok	4.35	5396.62	632.059	49045.9	49454.1	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx212992-b512-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx212992-b512-ub256.benchmark.log
turbo-maxctx	212992	1024	128	ok	4.87	6030.85	697.316	48915.1	49303.8	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx212992-b1024-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx212992-b1024-ub128.benchmark.log
turbo-maxctx	212992	1024	256	ok	4.35	5391.95	633.388	49053.1	49470.8	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx212992-b1024-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx212992-b1024-ub256.benchmark.log
turbo-maxctx	229376	512	128	ok	4.59	6126.15	812.529	49080.1	49470.0	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx229376-b512-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx229376-b512-ub128.benchmark.log
turbo-maxctx	229376	512	256	ok	4.12	5491.56	725.746	49230.4	49654.9	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx229376-b512-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx229376-b512-ub256.benchmark.log
turbo-maxctx	229376	1024	128	ok	4.59	6120.51	812.597	49079.4	49468.0	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx229376-b1024-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx229376-b1024-ub128.benchmark.log
turbo-maxctx	229376	1024	256	ok	4.12	5496.68	723.427	49221.8	49636.6	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx229376-b1024-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx229376-b1024-ub256.benchmark.log
turbo-maxctx	245760	512	128	ok	4.37	6239.96	916.359	49288.8	49728.1	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx245760-b512-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx245760-b512-ub128.benchmark.log
turbo-maxctx	245760	512	256	ok	3.90	5581.37	816.870	49432.0	49889.6	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx245760-b512-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx245760-b512-ub256.benchmark.log
turbo-maxctx	245760	1024	128	ok	4.37	6236.54	916.556	49287.4	49724.2	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx245760-b1024-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx245760-b1024-ub128.benchmark.log
turbo-maxctx	245760	1024	256	ok	3.90	5593.34	813.940	49432.9	49892.8	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx245760-b1024-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/turbo-maxctx-20260403-165708/turbo-maxctx-ctx245760-b1024-ub256.benchmark.log
